,title,price,link
10,"Samsung Galaxy Book2 (NP750) Intel 12th Gen core i5 39.6cm (15.6"") FHD Thin & Light Laptop (8 GB/512 GB/Windows 11/MS Office/Backlit Keyboard/Finger Print Reader/Silver/1.55Kg), NP750XED-KC1IN  ","52,490",https://www.amazon.in//Samsung-Windows-Backlit-Keyboard-NP750XED-KC1IN/dp/B09Z216R5Q/ref=sr_1_79?crid=ZMI68NQ42PUE&dib=eyJ2IjoiMSJ9.PlbY4v9xS__MotpSXo2uRAcIC4jT9wz_tnEGTs5NR-PC1UVdzJtAKVxrV_eb8K80ySnNXfUDJztKoBGQHULemQwMbJCtXcI6h5jOXDoqlng9ufSWw5tMHkvNOGkH-T64Ftnxyv4KnmJEm017OklamrSOR9j4oOv20uDZJHKYiPCTEZ4_W7R-WuDAsjvGAdeKDsdUnChhvcHDL25oB5oSDzq5MYTsU6LyNTit2lOHoIA.Np1Y0-sMkB2MmtuVn7qpKcSBhXmHVOP09402bFz9iXI&dib_tag=se&keywords=laptop&qid=1719413024&sprefix=laptop%2Caps%2C243&sr=8-79
11,"ASUS Vivobook Go 15 OLED (2023), AMD Ryzen 5 7520U, 15.6"" (39.62 cms) FHD OLED, Thin and Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/Backlit KB/Black/1.63 kg), E1504FA-LK545WS  ","54,990",https://www.amazon.in//ASUS-Vivobook-Windows-Backlit-E1504FA-LK545WS/dp/B0C1GJZYG4/ref=sr_1_80?crid=ZMI68NQ42PUE&dib=eyJ2IjoiMSJ9.PlbY4v9xS__MotpSXo2uRAcIC4jT9wz_tnEGTs5NR-PC1UVdzJtAKVxrV_eb8K80ySnNXfUDJztKoBGQHULemQwMbJCtXcI6h5jOXDoqlng9ufSWw5tMHkvNOGkH-T64Ftnxyv4KnmJEm017OklamrSOR9j4oOv20uDZJHKYiPCTEZ4_W7R-WuDAsjvGAdeKDsdUnChhvcHDL25oB5oSDzq5MYTsU6LyNTit2lOHoIA.Np1Y0-sMkB2MmtuVn7qpKcSBhXmHVOP09402bFz9iXI&dib_tag=se&keywords=laptop&qid=1719413024&sprefix=laptop%2Caps%2C243&sr=8-80
12,"HP Laptop 15, 13th Gen Intel Core i5-1335U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 1TB SSD, Intel Iris Xe Graphics, FPR, FHD Camera w/Privacy Shutter (Win 11, MSO 2021, Silver, 1.59 kg), fd0012TU  ","62,990",https://www.amazon.in//HP-i5-1335U-15-6-inch-Graphics-fd0012TU/dp/B0C3MGKNMJ/ref=sr_1_81?crid=ZMI68NQ42PUE&dib=eyJ2IjoiMSJ9.PlbY4v9xS__MotpSXo2uRAcIC4jT9wz_tnEGTs5NR-PC1UVdzJtAKVxrV_eb8K80ySnNXfUDJztKoBGQHULemQwMbJCtXcI6h5jOXDoqlng9ufSWw5tMHkvNOGkH-T64Ftnxyv4KnmJEm017OklamrSOR9j4oOv20uDZJHKYiPCTEZ4_W7R-WuDAsjvGAdeKDsdUnChhvcHDL25oB5oSDzq5MYTsU6LyNTit2lOHoIA.Np1Y0-sMkB2MmtuVn7qpKcSBhXmHVOP09402bFz9iXI&dib_tag=se&keywords=laptop&qid=1719413024&sprefix=laptop%2Caps%2C243&sr=8-81
13,"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe graphics, Backlit KB,MSO,Thin & Light, Dual speakers (Win 11, Silver, 1.69 kg), fq5330TU  ","52,490",https://www.amazon.in//HP-i5-1235U-15-6-inch-graphics-speakers/dp/B0CTKHTNWL/ref=sr_1_7?crid=ZMI68NQ42PUE&dib=eyJ2IjoiMSJ9.pfQKLxx5fRSjcoGExZQg5KcEyJJLo0qSsfMuwpmqNqz7WiZMW_eo1NReISXz_Dt-1xCxVtN5bToSjjttDid7OgRvAMxBaAngU-u170imolbkQpED63XBr3xU4qwIvxSOqQ-ZHHNK5Mc8d76Sz8B629Wpf1G2VOpRS9RyXWSLrn7O7e6EIgeLMvVhtvBX2HKQXfK3OdMqswXwrV0_uHXC7GtjvZrcZ1if7tTNwp_cHpU.vwDNyLzimiTEHEtifBzN18_OeF4cpuO5-MkifTWf7TM&dib_tag=se&keywords=laptop&qid=1719413014&sprefix=laptop%2Caps%2C243&sr=8-7
14,"Acer ALG 12th Gen Intel Core i5 Gaming Laptop (16GB RAM/512GB SSD/4GB RTX 2050 Graphics/60Hz/Win11Home/Wifi 6) AL15G-52, 39.62cm (15.6 inch) FHD Display, Premium Metal Body, Steel Gray, 1.99KG  ","56,990",https://www.amazon.in//Acer-Graphics-Win11Home-AL15G-52-39-62cm/dp/B0D32SKB4C/ref=sr_1_82?crid=ZMI68NQ42PUE&dib=eyJ2IjoiMSJ9.PlbY4v9xS__MotpSXo2uRAcIC4jT9wz_tnEGTs5NR-PC1UVdzJtAKVxrV_eb8K80ySnNXfUDJztKoBGQHULemQwMbJCtXcI6h5jOXDoqlng9ufSWw5tMHkvNOGkH-T64Ftnxyv4KnmJEm017OklamrSOR9j4oOv20uDZJHKYiPCTEZ4_W7R-WuDAsjvGAdeKDsdUnChhvcHDL25oB5oSDzq5MYTsU6LyNTit2lOHoIA.Np1Y0-sMkB2MmtuVn7qpKcSBhXmHVOP09402bFz9iXI&dib_tag=se&keywords=laptop&qid=1719413024&sprefix=laptop%2Caps%2C243&sr=8-82
15,"MSI Cyborg 15, Intel 12th Gen. i5-12450H, 40CM FHD 144Hz Gaming Laptop (8GBx2/512GB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX 2050, GDDR6 4GB/Black/1.98Kg), A12UCX-264IN  ","61,799",https://www.amazon.in//MSI-Cyborg-15-i5-12450H-A12UCX-264IN/dp/B0C3HZ82LH/ref=sr_1_83?crid=ZMI68NQ42PUE&dib=eyJ2IjoiMSJ9.PlbY4v9xS__MotpSXo2uRAcIC4jT9wz_tnEGTs5NR-PC1UVdzJtAKVxrV_eb8K80ySnNXfUDJztKoBGQHULemQwMbJCtXcI6h5jOXDoqlng9ufSWw5tMHkvNOGkH-T64Ftnxyv4KnmJEm017OklamrSOR9j4oOv20uDZJHKYiPCTEZ4_W7R-WuDAsjvGAdeKDsdUnChhvcHDL25oB5oSDzq5MYTsU6LyNTit2lOHoIA.Np1Y0-sMkB2MmtuVn7qpKcSBhXmHVOP09402bFz9iXI&dib_tag=se&keywords=laptop&qid=1719413024&sprefix=laptop%2Caps%2C243&sr=8-83
16,"HP 250 G9 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 7M657PA Thin and Light Laptop (15.6 inch, Silver, 2.3 kg)  ","33,000",https://www.amazon.in//HP-Intel-Core-12th-1215U/dp/B0CKHWTWSZ/ref=sr_1_84?crid=ZMI68NQ42PUE&dib=eyJ2IjoiMSJ9.PlbY4v9xS__MotpSXo2uRAcIC4jT9wz_tnEGTs5NR-PC1UVdzJtAKVxrV_eb8K80ySnNXfUDJztKoBGQHULemQwMbJCtXcI6h5jOXDoqlng9ufSWw5tMHkvNOGkH-T64Ftnxyv4KnmJEm017OklamrSOR9j4oOv20uDZJHKYiPCTEZ4_W7R-WuDAsjvGAdeKDsdUnChhvcHDL25oB5oSDzq5MYTsU6LyNTit2lOHoIA.Np1Y0-sMkB2MmtuVn7qpKcSBhXmHVOP09402bFz9iXI&dib_tag=se&keywords=laptop&qid=1719413024&sprefix=laptop%2Caps%2C243&sr=8-84
17,"Chuwi GemiBook Plus 15.6"" Laptop, 8GB RAM 256GB SSD, Windows 11, Intel N100 (Upto 3.4GHz), WIFI 6, USB-A 3.0, Webcam, Bluetooth 5.2, HDMI Port, 38Wh, 1.7kg (Iron Gray)  ","20,990",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3NzMxMjQ1ODM1Mjg5MTc3OjE3MTk0MTMwMjQ6c3BfYnRmOjMwMDIxODY4NTYzNjczMjo6MDo6&url=%2FChuwi-GemiBook-Plus-Windows-Bluetooth%2Fdp%2FB0CP98WK8J%2Fref%3Dsr_1_85_sspa%3Fcrid%3DZMI68NQ42PUE%26dib%3DeyJ2IjoiMSJ9.PlbY4v9xS__MotpSXo2uRAcIC4jT9wz_tnEGTs5NR-PC1UVdzJtAKVxrV_eb8K80ySnNXfUDJztKoBGQHULemQwMbJCtXcI6h5jOXDoqlng9ufSWw5tMHkvNOGkH-T64Ftnxyv4KnmJEm017OklamrSOR9j4oOv20uDZJHKYiPCTEZ4_W7R-WuDAsjvGAdeKDsdUnChhvcHDL25oB5oSDzq5MYTsU6LyNTit2lOHoIA.Np1Y0-sMkB2MmtuVn7qpKcSBhXmHVOP09402bFz9iXI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1719413024%26sprefix%3Dlaptop%252Caps%252C243%26sr%3D8-85-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
18,"Lenovo IdeaPad Slim 3 AMD Ryzen 7 5700U 15.6"" FHD Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/Arctic Grey/1.65Kg), 82KU024JIN  ","46,300",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3NzMxMjQ1ODM1Mjg5MTc3OjE3MTk0MTMwMjQ6c3BfYnRmOjMwMDE2ODEyNzU1OTczMjo6MDo6&url=%2FLenovo-IdeaPad-Laptop-Windows-82KU024JIN%2Fdp%2FB0CP2DWWFS%2Fref%3Dsr_1_86_sspa%3Fcrid%3DZMI68NQ42PUE%26dib%3DeyJ2IjoiMSJ9.PlbY4v9xS__MotpSXo2uRAcIC4jT9wz_tnEGTs5NR-PC1UVdzJtAKVxrV_eb8K80ySnNXfUDJztKoBGQHULemQwMbJCtXcI6h5jOXDoqlng9ufSWw5tMHkvNOGkH-T64Ftnxyv4KnmJEm017OklamrSOR9j4oOv20uDZJHKYiPCTEZ4_W7R-WuDAsjvGAdeKDsdUnChhvcHDL25oB5oSDzq5MYTsU6LyNTit2lOHoIA.Np1Y0-sMkB2MmtuVn7qpKcSBhXmHVOP09402bFz9iXI%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1719413024%26sprefix%3Dlaptop%252Caps%252C243%26sr%3D8-86-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
19,"Lenovo ThinkBook 15 G5 Ryzen 7 15.6"" FHD Antiglare 250 Nits Thin and Light Laptop (16GB RAM/512GB SSD/Windows 11 Home/Fingerprint Reader/Backlit/Mineral Grey/1 Year Onsite/1.7 kg), 21JFA02NIN  ","48,980",https://www.amazon.in//sspa/click?ie=UTF8&spc=MToxOTM5ODIxNjY4MzY3MTc3OjE3MTk0MTMwMjc6c3BfYXRmX25leHQ6MzAwMTY5MTg0MjIxNzMyOjowOjo&url=%2FLenovo-ThinkBook-Antiglare-Fingerprint-21JFA02NIN%2Fdp%2FB0CWLXR29F%2Fref%3Dsr_1_81_sspa%3Fcrid%3DZMI68NQ42PUE%26dib%3DeyJ2IjoiMSJ9.scUJJ5rgDLY3_JAYwRyWmFS3iOljt5tZLip2RDe4NIzJ_go5Dqgn-G5YO5zjBdqo9APleYFupMGuhdH8dhgj5ebnMlB05Pz6_xv2odaZ-CK1eLuxHg-6qreSVGgl_zekJmijilgSa6Yh-em6MVCbbOQy88MAhln_yXYLRcN8sRDk47_uT57OZKS-MzQShvnL1pNy-0TPgV-KEsVAZcxe7yl5q1PG7bE3MXo0JD8NJFM.AvBd3gLld7s2y4doUX4rhIMmNBzBxwGkdruKxt76oiw%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1719413027%26sprefix%3Dlaptop%252Caps%252C243%26sr%3D8-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
